年份,月份,迭代编号,发版日期,规划会日期
2026,1,0106,0106,12/19
2026,1,0120,0120,1/4
2026,2,0203,0203,1/16
2026,2,0210,0210,1/30
2026,3,0305,0305,2/6
2026,3,0317,0317,2/28
2026,3,0331,0331,3/13
2026,4,0414,0414,3/27
2026,4,0428,0428,4/10
2026,5,0512,0512,4/24
2026,5,0526,0526,5/9
2026,6,0609,0609,5/22
2026,6,0623,0623,6/5
2026,7,0707,0707,6/18
2026,7,0721,0721,7/3
2026,8,0804,0804,7/17
2026,8,0818,0818,7/31
2026,9,0901,0901,8/14
2026,9,0915,0915,8/28
2026,10,1009,1009,9/11
2026,10,1020,1020,10/8
2026,11,1103,1103,10/16
2026,11,1117,1117,10/30
2026,12,1201,1201,11/13
2026,12,1215,1215,11/27
2026,12,1229,1229,12/11
